,ship-service-level,Category,Amount
74308,Expedited,T-shirt,
74309,Expedited,T-shirt,1199.0
74310,Standard,T-shirt,653.0
74311,Expedited,T-shirt,560.0
74312,Expedited,Shirt,709.0
74313,Expedited,T-shirt,788.0
74314,Expedited,Blazzer,899.0
74315,Expedited,Trousers,690.0
74316,Standard,Trousers,574.0
74317,Expedited,Shirt,435.0
74318,Expedited,Shirt,301.0
74319,Expedited,T-shirt,0.0
74320,Standard,Shirt,399.0
74321,Expedited,T-shirt,759.0
74322,Standard,Shirt,635.0
74323,Standard,T-shirt,1025.89
74324,Standard,Blazzer,0.0
74325,Standard,Shirt,0.0
74326,Expedited,Shirt,431.0
74327,Expedited,Shirt,435.0
74328,Expedited,Shirt,345.0
74329,Expedited,Shirt,386.0
74330,Standard,Perfume,373.0
74331,Standard,T-shirt,1149.0
74332,Expedited,Blazzer,665.0
74333,Standard,T-shirt,999.0
74334,Standard,Blazzer,899.0
74335,Standard,Blazzer,771.0
74336,Expedited,T-shirt,759.0
74337,Expedited,Shirt,382.0
74338,Expedited,T-shirt,693.0
74339,Expedited,Shirt,836.0
74340,Expedited,T-shirt,1099.0
74341,Expedited,T-shirt,847.0
74342,Expedited,Shirt,925.0
74343,Expedited,Shirt,301.0
74344,Expedited,Blazzer,899.0
74345,Expedited,Shirt,382.0
74346,Standard,Blazzer,771.0
74347,Standard,Shirt,396.0
74348,Expedited,Shirt,382.0
74349,Expedited,Trousers,529.0
74350,Expedited,Shirt,
74351,Expedited,T-shirt,775.0
74352,Expedited,Shirt,435.0
74353,Standard,Shirt,
74354,Expedited,T-shirt,1186.0
74355,Expedited,T-shirt,1229.0
74356,Expedited,T-shirt,999.0
74357,Expedited,Shirt,399.0
74358,Standard,Blazzer,771.0
74359,Expedited,Shirt,635.0
74360,Standard,Shirt,399.0
74361,Standard,Blazzer,771.0
74362,Standard,Blazzer,771.0
74363,Expedited,T-shirt,699.0
74364,Expedited,Shirt,471.0
74365,Expedited,Shirt,625.0
74366,Expedited,Shirt,665.0
74367,Expedited,Shirt,
74368,Standard,T-shirt,1477.0
74369,Expedited,T-shirt,825.0
74370,Standard,Shirt,471.0
74371,Expedited,Shirt,798.0
74372,Standard,T-shirt,499.0
74373,Standard,T-shirt,648.0
74374,Standard,Blazzer,771.0
74375,Standard,T-shirt,999.0
74376,Standard,T-shirt,981.25
74377,Standard,Shirt,399.0
74378,Standard,Blazzer,661.0
74379,Expedited,T-shirt,613.0
74380,Expedited,T-shirt,641.0
74381,Standard,Trousers,387.0
74382,Standard,T-shirt,499.0
74383,Expedited,Shirt,435.0
74384,Expedited,T-shirt,517.0
74385,Standard,Trousers,518.0
74386,Expedited,Trousers,493.0
74387,Standard,T-shirt,653.0
74388,Standard,Blazzer,771.0
74389,Expedited,T-shirt,696.0
74390,Expedited,Shirt,382.0
74391,Expedited,Shirt,382.0
74392,Expedited,Shirt,399.0
74393,Expedited,T-shirt,1399.0
74394,Expedited,Shirt,
74395,Standard,Shirt,
74396,Standard,Blazzer,734.29
74397,Expedited,Shirt,487.0
74398,Standard,Shirt,399.0
74399,Expedited,Shirt,435.0
74400,Expedited,Trousers,301.0
74401,Standard,Shirt,338.1
74402,Expedited,Shirt,399.0
74403,Expedited,T-shirt,653.0
74404,Standard,Shirt,565.0
74405,Expedited,Shirt,435.0
74406,Expedited,Shirt,448.0
74407,Expedited,Shirt,432.0
74408,Expedited,Shirt,435.0
74409,Expedited,Blazzer,792.0
74410,Expedited,Shirt,435.0
74411,Standard,Shirt,345.0
74412,Expedited,Shirt,
74413,Expedited,T-shirt,478.0
74414,Expedited,T-shirt,0.0
74415,Standard,Trousers,371.0
74416,Standard,Perfume,373.0
74417,Expedited,Shirt,435.0
74418,Standard,T-shirt,599.0
74419,Standard,Blazzer,771.0
74420,Standard,Shirt,771.0
74421,Expedited,Shirt,435.0
74422,Expedited,T-shirt,1249.0
74423,Standard,T-shirt,953.57
74424,Standard,Shirt,399.0
74425,Standard,T-shirt,605.0
74426,Standard,T-shirt,1149.0
74427,Standard,Shirt,459.0
74428,Standard,Shirt,399.0
74429,Standard,Shirt,411.43
74430,Standard,Shirt,822.86
74431,Expedited,Shirt,380.0
74432,Standard,T-shirt,953.57
74433,Expedited,T-shirt,543.0
74434,Expedited,Shirt,
74435,Expedited,Shirt,435.0
74436,Standard,Shirt,0.0
74437,Expedited,T-shirt,668.0
74438,Standard,T-shirt,696.0
74439,Expedited,Trousers,529.0
74440,Standard,Blazzer,625.0
74441,Standard,Shirt,517.0
74442,Standard,T-shirt,630.0
74443,Standard,Blazzer,771.0
74444,Expedited,Shirt,399.0
74445,Standard,Perfume,355.24
74446,Standard,Shirt,399.0
74447,Standard,T-shirt,888.0
74448,Expedited,T-shirt,1523.0
74449,Standard,Blazzer,771.0
74450,Standard,Shirt,399.0
74451,Standard,Trousers,301.0
74452,Expedited,T-shirt,1229.0
74453,Expedited,T-shirt,1238.0
74454,Expedited,T-shirt,696.0
74455,Standard,Shirt,301.0
74456,Expedited,Shirt,709.0
74457,Standard,Blazzer,771.0
74458,Expedited,Shirt,
74459,Expedited,T-shirt,1072.0
74460,Expedited,T-shirt,1364.0
74461,Standard,T-shirt,1238.0
74462,Standard,T-shirt,786.0
74463,Expedited,Shirt,399.0
74464,Expedited,Trousers,665.0
74465,Standard,T-shirt,1695.0
74466,Standard,Blazzer,771.0
74467,Expedited,T-shirt,899.0
74468,Standard,Blazzer,734.29
74469,Expedited,T-shirt,629.0
74470,Expedited,Shirt,449.0
74471,Expedited,T-shirt,1072.0
74472,Expedited,Shirt,499.0
74473,Expedited,T-shirt,641.0
74474,Standard,T-shirt,1068.0
74475,Expedited,Shirt,475.0
74476,Standard,Shirt,454.29
74477,Expedited,Shirt,487.0
74478,Expedited,T-shirt,1186.0
74479,Expedited,Shirt,307.0
74480,Expedited,Trousers,387.0
74481,Standard,T-shirt,408.57
74482,Expedited,T-shirt,517.0
74483,Standard,Blazzer,771.0
74484,Standard,T-shirt,696.0
74485,Expedited,Shirt,301.0
74486,Standard,Trousers,518.0
74487,Expedited,T-shirt,1349.0
74488,Expedited,Shirt,798.0
74489,Standard,T-shirt,
74490,Standard,Shirt,301.0
74491,Expedited,Shirt,435.0
74492,Expedited,T-shirt,579.0
74493,Standard,Blazzer,771.0
74494,Standard,Blazzer,791.0
74495,Expedited,T-shirt,631.0
74496,Expedited,Shirt,
74497,Standard,T-shirt,832.0
74498,Standard,Blazzer,771.0
74499,Expedited,Blazzer,791.0
74500,Expedited,Shirt,318.0
74501,Expedited,Shirt,
74502,Expedited,T-shirt,
74503,Expedited,Shirt,301.0
74504,Expedited,Shirt,349.0
74505,Standard,Shirt,301.0
74506,Expedited,T-shirt,1068.0
74507,Standard,Trousers,518.0
74508,Standard,Blazzer,434.0
74509,Standard,T-shirt,653.0
74510,Standard,Shirt,345.0
74511,Expedited,Trousers,574.0
74512,Standard,T-shirt,1186.0
74513,Expedited,Shirt,
74514,Expedited,Shirt,435.0
74515,Standard,Shirt,709.0
74516,Expedited,Shirt,625.0
74517,Standard,T-shirt,1099.0
74518,Standard,Blazzer,771.0
74519,Expedited,Shirt,432.0
74520,Expedited,Shirt,
74521,Expedited,Shirt,471.0
74522,Expedited,T-shirt,641.0
74523,Standard,Blazzer,625.0
74524,Expedited,Shirt,301.0
74525,Expedited,T-shirt,788.0
74526,Standard,T-shirt,1068.0
74527,Standard,Blazzer,771.0
74528,Expedited,Shirt,471.0
74529,Standard,Trousers,
74530,Standard,T-shirt,953.57
74531,Standard,Shirt,544.0
74532,Expedited,T-shirt,777.0
74533,Expedited,Shirt,798.0
74534,Expedited,Shirt,736.0
74535,Expedited,Shirt,435.0
74536,Expedited,T-shirt,696.0
74537,Expedited,Shirt,399.0
74538,Standard,Shirt,349.0
74539,Expedited,T-shirt,629.0
74540,Standard,Blazzer,734.29
74541,Expedited,Shirt,405.0
74542,Expedited,Shirt,599.0
74543,Expedited,T-shirt,1698.0
74544,Expedited,T-shirt,1499.0
74545,Expedited,Shirt,305.0
74546,Expedited,Shirt,764.0
74547,Expedited,T-shirt,1132.0
74548,Standard,Trousers,0.0
74549,Expedited,Shirt,1198.0
74550,Expedited,T-shirt,
74551,Standard,Blazzer,734.28
74552,Expedited,Shirt,
74553,Expedited,Shirt,319.0
74554,Expedited,Trousers,518.0
74555,Standard,T-shirt,850.0
74556,Standard,Blazzer,771.0
74557,Expedited,Shirt,476.0
74558,Standard,T-shirt,1149.0
74559,Expedited,T-shirt,1068.0
74560,Expedited,T-shirt,549.0
74561,Expedited,Blazzer,885.0
74562,Expedited,Blazzer,825.0
74563,Standard,Trousers,545.0
74564,Standard,T-shirt,1349.0
74565,Standard,T-shirt,0.0
74566,Expedited,T-shirt,833.0
74567,Standard,Shirt,771.0
74568,Standard,Shirt,869.0
74569,Standard,T-shirt,537.0
74570,Standard,Blazzer,771.0
74571,Expedited,Wallet,599.0
74572,Expedited,Blazzer,899.0
74573,Standard,Shirt,459.0
74574,Standard,Shirt,301.0
74575,Standard,Blazzer,771.0
74576,Standard,Shirt,709.0
74577,Expedited,Shirt,709.0
74578,Expedited,T-shirt,852.0
74579,Standard,Wallet,388.0
74580,Expedited,Trousers,574.0
74581,Expedited,T-shirt,850.0
74582,Standard,T-shirt,1068.0
74583,Standard,Trousers,518.0
74584,Expedited,T-shirt,899.0
74585,Standard,Blazzer,771.0
74586,Standard,Perfume,797.14
74587,Standard,Shirt,463.81
74588,Standard,Shirt,385.71
74589,Standard,Shirt,380.0
74590,Standard,Shirt,332.38
74591,Standard,T-shirt,651.43
74592,Standard,T-shirt,652.38
74593,Standard,Trousers,380.0
74594,Standard,Shirt,414.29
74595,Standard,Blazzer,665.71
74596,Standard,Shirt,286.67
74597,Standard,Blazzer,818.1
74598,Expedited,Shirt,487.0
74599,Expedited,Shirt,517.0
74600,Expedited,Blazzer,665.0
74601,Expedited,Blazzer,614.0
74602,Expedited,Blazzer,885.0
74603,Expedited,Blazzer,625.0
74604,Expedited,Shirt,696.0
74605,Expedited,Shirt,526.0
74606,Expedited,Shirt,471.0
74607,Standard,T-shirt,1152.0
74608,Expedited,T-shirt,857.0
74609,Expedited,T-shirt,0.0
74610,Expedited,Shirt,471.0
74611,Standard,T-shirt,759.0
74612,Expedited,Trousers,545.0
74613,Standard,Shirt,301.0
74614,Standard,T-shirt,475.0
74615,Expedited,Trousers,399.0
74616,Standard,T-shirt,641.0
74617,Expedited,Shirt,435.0
74618,Expedited,T-shirt,
74619,Expedited,T-shirt,685.0
74620,Expedited,T-shirt,
74621,Expedited,T-shirt,949.0
74622,Expedited,Shirt,399.0
74623,Expedited,Trousers,599.0
74624,Expedited,Shirt,301.0
74625,Standard,Blazzer,771.0
74626,Expedited,T-shirt,475.0
74627,Expedited,Shirt,301.0
74628,Expedited,Shirt,301.0
74629,Expedited,Shirt,359.0
74630,Expedited,T-shirt,582.0
74631,Expedited,Shirt,431.0
74632,Standard,Blazzer,771.0
74633,Standard,Blazzer,771.0
74634,Standard,Blazzer,771.0
74635,Expedited,T-shirt,799.0
74636,Standard,T-shirt,839.05
74637,Standard,Blazzer,771.0
74638,Standard,Shirt,771.0
74639,Expedited,Shirt,405.0
74640,Standard,Blazzer,771.0
74641,Standard,Shirt,399.0
74642,Expedited,Shirt,382.0
74643,Standard,Shirt,487.0
74644,Standard,Blazzer,771.0
74645,Expedited,Shirt,469.0
74646,Expedited,Trousers,317.0
74647,Standard,Shirt,432.0
74648,Expedited,Trousers,690.0
74649,Expedited,Shirt,499.0
74650,Expedited,T-shirt,1186.0
74651,Expedited,Shirt,435.0
74652,Standard,Blazzer,734.29
74653,Expedited,Shirt,614.0
74654,Expedited,T-shirt,495.0
74655,Expedited,T-shirt,450.0
74656,Expedited,Shirt,435.0
74657,Standard,Socks,301.0
74658,Expedited,T-shirt,1199.0
74659,Expedited,Shirt,517.0
74660,Standard,T-shirt,1068.0
74661,Expedited,T-shirt,1063.0
74662,Expedited,Wallet,625.0
74663,Standard,T-shirt,599.0
74664,Standard,Blazzer,771.0
74665,Standard,Blazzer,771.0
74666,Expedited,Blazzer,665.0
74667,Expedited,Blazzer,791.0
74668,Expedited,T-shirt,1072.0
74669,Standard,Shirt,
74670,Expedited,T-shirt,631.0
74671,Expedited,T-shirt,949.0
74672,Standard,Shirt,463.81
74673,Standard,Trousers,545.0
74674,Expedited,T-shirt,1133.0
74675,Standard,T-shirt,957.14
74676,Expedited,T-shirt,1133.0
74677,Standard,T-shirt,653.0
74678,Standard,Wallet,377.0
74679,Standard,Shirt,471.0
74680,Standard,T-shirt,635.0
74681,Standard,T-shirt,1122.0
74682,Standard,Trousers,546.67
74683,Expedited,Shirt,603.0
74684,Expedited,T-shirt,666.0
74685,Expedited,Trousers,648.0
74686,Standard,Trousers,518.0
74687,Expedited,Shirt,777.0
74688,Expedited,T-shirt,537.0
74689,Expedited,T-shirt,1349.0
74690,Standard,Shirt,540.95
74691,Standard,T-shirt,1099.0
74692,Expedited,T-shirt,999.0
74693,Expedited,T-shirt,612.0
74694,Expedited,Shirt,753.0
74695,Expedited,Trousers,574.0
74696,Standard,T-shirt,1068.0
74697,Standard,T-shirt,999.0
74698,Expedited,T-shirt,1499.0
74699,Standard,Shirt,292.38
74700,Standard,T-shirt,1001.79
74701,Standard,Shirt,635.0
74702,Expedited,T-shirt,478.0
74703,Standard,Blazzer,0.0
74704,Expedited,Blazzer,599.0
74705,Expedited,Blazzer,599.0
74706,Expedited,Blazzer,475.0
74707,Expedited,Shirt,709.0
74708,Expedited,Blazzer,791.0
74709,Standard,T-shirt,630.0
74710,Expedited,Shirt,307.0
74711,Standard,T-shirt,662.86
74712,Expedited,Shirt,301.0
74713,Expedited,T-shirt,1099.0
74714,Expedited,Shirt,764.0
74715,Expedited,Shirt,1099.0
74716,Expedited,T-shirt,1349.0
74717,Expedited,T-shirt,666.0
74718,Standard,Blazzer,625.0
74719,Standard,T-shirt,722.86
74720,Expedited,Wallet,418.0
74721,Standard,Trousers,513.0
74722,Standard,T-shirt,988.0
74723,Standard,Shirt,0.0
74724,Expedited,T-shirt,666.0
74725,Expedited,Shirt,529.0
74726,Expedited,Perfume,
74727,Expedited,T-shirt,537.0
74728,Standard,T-shirt,641.0
74729,Expedited,T-shirt,696.0
74730,Expedited,T-shirt,832.0
74731,Standard,T-shirt,0.0
74732,Standard,Blazzer,771.0
74733,Expedited,Shirt,471.0
74734,Expedited,T-shirt,1364.0
74735,Standard,Shirt,487.0
74736,Expedited,T-shirt,1556.0
74737,Standard,Blazzer,771.0
74738,Expedited,Blazzer,1132.0
74739,Expedited,Shirt,967.0
74740,Standard,T-shirt,953.57
74741,Expedited,Shirt,544.0
74742,Standard,Shirt,517.0
74743,Standard,Shirt,286.67
74744,Expedited,Shirt,399.0
74745,Standard,Shirt,517.0
74746,Expedited,T-shirt,785.0
74747,Standard,T-shirt,967.0
74748,Expedited,T-shirt,1186.0
74749,Standard,T-shirt,499.0
74750,Standard,T-shirt,641.0
74751,Expedited,T-shirt,824.0
74752,Expedited,Shirt,709.0
74753,Expedited,Shirt,435.0
74754,Expedited,Shirt,301.0
74755,Expedited,Shirt,301.0
74756,Standard,Blazzer,771.0
74757,Expedited,Shirt,798.0
74758,Standard,T-shirt,0.0
74759,Standard,Blazzer,771.0
74760,Standard,T-shirt,408.57
74761,Expedited,T-shirt,668.0
74762,Standard,Shirt,435.0
74763,Expedited,Shirt,399.0
74764,Expedited,Shirt,599.0
74765,Expedited,Shirt,435.0
74766,Expedited,Shirt,
74767,Expedited,Wallet,333.0
74768,Expedited,Wallet,301.0
74769,Expedited,Wallet,301.0
74770,Expedited,Wallet,301.0
74771,Expedited,Blazzer,825.0
74772,Standard,Blazzer,825.0
74773,Expedited,Shirt,449.0
74774,Standard,Blazzer,734.29
74775,Standard,T-shirt,1070.54
74776,Expedited,T-shirt,1499.0
74777,Expedited,T-shirt,517.0
74778,Standard,Shirt,625.0
74779,Expedited,Shirt,399.0
74780,Standard,Blazzer,771.0
74781,Expedited,T-shirt,1199.0
74782,Expedited,Trousers,690.0
74783,Expedited,Shirt,399.0
74784,Standard,Blazzer,771.0
74785,Expedited,Shirt,526.0
74786,Expedited,Shirt,471.0
74787,Standard,T-shirt,511.42
74788,Expedited,T-shirt,1199.0
74789,Standard,Blazzer,771.0
74790,Standard,Shirt,318.0
74791,Expedited,T-shirt,899.0
74792,Expedited,T-shirt,1152.0
74793,Expedited,T-shirt,852.0
74794,Expedited,T-shirt,832.0
74795,Expedited,Shirt,345.0
74796,Expedited,Trousers,332.0
74797,Standard,T-shirt,962.0
74798,Standard,Blazzer,771.0
74799,Standard,Shirt,771.0
74800,Expedited,T-shirt,1099.0
74801,Standard,T-shirt,641.0
74802,Standard,Blazzer,771.0
74803,Expedited,Trousers,791.0
74804,Expedited,T-shirt,1399.0
74805,Expedited,Shirt,435.0
74806,Expedited,T-shirt,949.0
74807,Standard,T-shirt,1523.0
74808,Standard,Blazzer,771.0
74809,Standard,Shirt,432.0
74810,Expedited,Shirt,459.0
74811,Standard,Shirt,362.0
74812,Standard,T-shirt,1338.0
74813,Expedited,T-shirt,824.0
74814,Expedited,Shirt,301.0
74815,Standard,Blazzer,771.0
74816,Standard,Shirt,771.0
74817,Expedited,T-shirt,475.0
74818,Standard,T-shirt,452.38
74819,Expedited,T-shirt,857.0
74820,Standard,Trousers,545.0
74821,Expedited,Trousers,518.0
74822,Expedited,Trousers,518.0
74823,Expedited,Shirt,435.0
74824,Expedited,Shirt,469.0
74825,Standard,T-shirt,953.57
74826,Standard,Blazzer,771.0
74827,Expedited,Shirt,
74828,Standard,T-shirt,750.48
74829,Expedited,Blazzer,885.0
74830,Standard,Blazzer,771.0
74831,Expedited,T-shirt,1099.0
74832,Standard,T-shirt,696.0
74833,Expedited,T-shirt,
74834,Standard,Blazzer,999.0
74835,Expedited,T-shirt,1338.0
74836,Expedited,T-shirt,1349.0
74837,Expedited,T-shirt,788.0
74838,Expedited,T-shirt,641.0
74839,Expedited,Shirt,798.0
74840,Expedited,T-shirt,736.0
74841,Standard,Shirt,459.0
74842,Standard,Shirt,
74843,Expedited,Shirt,544.0
74844,Expedited,T-shirt,648.0
74845,Standard,T-shirt,1068.0
74846,Standard,T-shirt,729.0
74847,Expedited,T-shirt,
74848,Expedited,Shirt,380.0
74849,Expedited,Shirt,469.0
74850,Expedited,T-shirt,759.0
74851,Standard,T-shirt,1068.0
74852,Expedited,T-shirt,899.0
74853,Expedited,T-shirt,999.0
74854,Expedited,Shirt,368.0
74855,Expedited,T-shirt,641.0
74856,Expedited,Shirt,471.0
74857,Standard,Shirt,540.95
74858,Expedited,T-shirt,696.0
74859,Standard,Shirt,487.0
74860,Expedited,T-shirt,549.0
74861,Expedited,Trousers,423.0
74862,Expedited,Trousers,341.0
74863,Standard,T-shirt,429.0
74864,Expedited,Shirt,
74865,Expedited,T-shirt,
74866,Standard,Blazzer,771.0
74867,Expedited,T-shirt,666.0
74868,Expedited,T-shirt,1299.0
74869,Expedited,Shirt,499.0
74870,Expedited,Perfume,475.0
74871,Expedited,T-shirt,1099.0
74872,Expedited,Blazzer,625.0
74873,Standard,T-shirt,699.0
74874,Standard,Shirt,568.0
74875,Standard,Shirt,568.0
74876,Standard,Blazzer,771.0
74877,Expedited,T-shirt,612.0
74878,Expedited,Shirt,301.0
74879,Standard,Shirt,
74880,Expedited,T-shirt,771.0
74881,Standard,Shirt,399.0
74882,Standard,Shirt,301.0
74883,Expedited,Shirt,709.0
74884,Expedited,Shirt,655.0
74885,Standard,Blazzer,
74886,Standard,Perfume,885.0
74887,Expedited,Wallet,388.0
74888,Expedited,T-shirt,696.0
74889,Expedited,Wallet,545.0
74890,Expedited,Shirt,318.0
74891,Expedited,Shirt,523.0
74892,Expedited,T-shirt,999.0
74893,Standard,Shirt,635.0
74894,Expedited,Shirt,382.0
74895,Standard,Perfume,755.0
74896,Standard,Shirt,399.0
74897,Standard,Blazzer,885.0
74898,Standard,Blazzer,771.0
74899,Standard,Trousers,570.0
74900,Expedited,T-shirt,857.0
74901,Expedited,Shirt,544.0
74902,Standard,Shirt,487.0
74903,Standard,Shirt,399.0
74904,Expedited,Shirt,399.0
74905,Expedited,T-shirt,1186.0
74906,Standard,Shirt,0.0
74907,Standard,Blazzer,0.0
74908,Expedited,Blazzer,791.0
74909,Standard,T-shirt,903.81
74910,Standard,T-shirt,545.0
74911,Expedited,Shirt,301.0
74912,Expedited,Shirt,386.0
74913,Standard,Shirt,301.0
74914,Expedited,Shirt,382.0
74915,Expedited,T-shirt,1399.0
74916,Expedited,T-shirt,1338.0
74917,Standard,Blazzer,734.29
74918,Expedited,T-shirt,1199.0
74919,Expedited,Blazzer,825.0
74920,Expedited,T-shirt,832.0
74921,Expedited,T-shirt,999.0
74922,Expedited,Blazzer,989.0
74923,Expedited,Trousers,349.0
74924,Expedited,T-shirt,888.0
74925,Standard,Shirt,345.0
74926,Expedited,T-shirt,
74927,Expedited,Trousers,518.0
74928,Standard,Blazzer,771.0
74929,Expedited,T-shirt,478.0
74930,Expedited,T-shirt,791.0
74931,Expedited,T-shirt,788.0
74932,Standard,T-shirt,599.0
74933,Expedited,T-shirt,1364.0
74934,Standard,Blazzer,771.0
74935,Expedited,Shirt,471.0
74936,Standard,T-shirt,988.0
74937,Expedited,T-shirt,1229.0
74938,Expedited,Shirt,301.0
74939,Expedited,T-shirt,641.0
74940,Expedited,T-shirt,1698.0
74941,Standard,Shirt,361.9
74942,Expedited,Shirt,315.0
74943,Expedited,Shirt,469.0
74944,Standard,T-shirt,699.0
74945,Standard,Blazzer,885.0
74946,Standard,Shirt,301.0
74947,Standard,T-shirt,499.0
74948,Standard,Trousers,599.0
74949,Standard,Blazzer,771.0
74950,Standard,Blazzer,771.0
74951,Expedited,Trousers,
74952,Expedited,Shirt,431.0
74953,Expedited,Shirt,356.0
74954,Expedited,T-shirt,759.0
74955,Standard,Blazzer,771.0
74956,Standard,T-shirt,599.0
74957,Expedited,T-shirt,666.0
74958,Expedited,T-shirt,666.0
74959,Expedited,T-shirt,696.0
74960,Expedited,T-shirt,696.0
74961,Expedited,Shoes,2058.0
74962,Expedited,Shoes,1372.0
74963,Standard,Shirt,301.0
74964,Standard,Blazzer,771.0
74965,Standard,Blazzer,771.0
74966,Expedited,Blazzer,721.0
74967,Standard,Blazzer,734.29
74968,Standard,T-shirt,0.0
74969,Standard,T-shirt,852.0
74970,Standard,Blazzer,999.0
74971,Expedited,Shirt,665.0
74972,Expedited,T-shirt,429.0
74973,Expedited,T-shirt,
74974,Standard,Shirt,0.0
74975,Standard,T-shirt,852.0
74976,Expedited,T-shirt,899.0
74977,Expedited,T-shirt,582.0
74978,Expedited,Shirt,435.0
74979,Standard,T-shirt,599.0
74980,Expedited,T-shirt,988.0
74981,Standard,T-shirt,641.0
74982,Expedited,Blazzer,791.0
74983,Expedited,Shirt,345.0
74984,Standard,Blazzer,899.0
74985,Standard,Shirt,301.0
74986,Expedited,Shirt,362.0
74987,Expedited,T-shirt,696.0
74988,Standard,Shirt,487.0
74989,Expedited,Shirt,499.0
74990,Expedited,Shirt,324.0
74991,Expedited,Shirt,399.0
74992,Standard,T-shirt,545.0
74993,Standard,Blazzer,885.0
74994,Expedited,T-shirt,475.0
74995,Expedited,Shirt,836.0
74996,Expedited,Shirt,633.0
74997,Standard,T-shirt,759.0
74998,Expedited,T-shirt,1364.0
74999,Standard,Blazzer,771.0
75000,Expedited,T-shirt,587.0
75001,Expedited,Shirt,301.0
75002,Standard,Blazzer,771.0
75003,Expedited,Shirt,432.0
75004,Expedited,Shirt,435.0
75005,Standard,Shirt,301.0
75006,Expedited,T-shirt,799.0
75007,Expedited,T-shirt,888.0
75008,Expedited,Shirt,517.0
75009,Standard,T-shirt,734.29
75010,Expedited,T-shirt,653.0
75011,Standard,Blazzer,885.0
75012,Standard,Shirt,469.0
75013,Expedited,Shirt,568.0
75014,Standard,Shirt,315.24
75015,Standard,T-shirt,634.29
75016,Standard,Shirt,382.0
75017,Standard,Shirt,307.0
75018,Expedited,T-shirt,759.0
75019,Standard,T-shirt,1238.0
75020,Standard,Blazzer,625.0
75021,Expedited,Shirt,435.0
75022,Expedited,Shirt,753.0
75023,Standard,Blazzer,771.0
75024,Standard,T-shirt,1112.0
75025,Expedited,Shirt,435.0
75026,Standard,T-shirt,1349.0
75027,Expedited,T-shirt,759.0
75028,Expedited,Shirt,471.0
75029,Expedited,Shirt,523.0
75030,Expedited,Blazzer,825.0
75031,Standard,T-shirt,1299.0
75032,Expedited,Blazzer,899.0
75033,Expedited,T-shirt,545.0
75034,Expedited,Blazzer,885.0
75035,Standard,T-shirt,0.0
75036,Expedited,T-shirt,759.0
75037,Expedited,Shirt,869.0
75038,Expedited,T-shirt,
75039,Standard,Blazzer,899.0
75040,Standard,Shirt,696.0
75041,Expedited,Trousers,529.0
75042,Standard,T-shirt,967.0
75043,Standard,T-shirt,537.0
75044,Expedited,Perfume,373.0
75045,Expedited,T-shirt,847.0
75046,Standard,Shirt,499.0
75047,Expedited,Blazzer,885.0
75048,Expedited,Blazzer,791.0
75049,Expedited,Shirt,517.0
75050,Expedited,Shirt,382.0
75051,Expedited,T-shirt,999.0
75052,Expedited,T-shirt,999.0
75053,Expedited,Blazzer,989.0
75054,Standard,T-shirt,545.0
75055,Expedited,Blazzer,661.0
75056,Expedited,Shirt,471.0
75057,Standard,Blazzer,771.0
75058,Expedited,Shirt,603.0
75059,Expedited,Shirt,709.0
75060,Standard,T-shirt,1186.0
75061,Expedited,T-shirt,582.0
75062,Standard,T-shirt,582.86
75063,Expedited,T-shirt,999.0
75064,Standard,Shirt,568.0
75065,Expedited,Shirt,764.0
75066,Expedited,Shirt,798.0
75067,Standard,T-shirt,499.0
75068,Expedited,T-shirt,
75069,Standard,Shirt,604.76
75070,Standard,T-shirt,1186.0
75071,Standard,Perfume,0.0
75072,Expedited,Blazzer,885.0
75073,Expedited,Trousers,529.0
75074,Expedited,T-shirt,854.0
75075,Expedited,Shirt,301.0
75076,Expedited,Shirt,
75077,Standard,Blazzer,771.0
75078,Standard,Shirt,380.0
75079,Standard,T-shirt,899.0
75080,Standard,T-shirt,967.0
75081,Expedited,T-shirt,560.0
75082,Standard,Blazzer,885.0
75083,Expedited,T-shirt,560.0
75084,Expedited,Shirt,399.0
75085,Standard,Shirt,301.0
75086,Standard,Shirt,
75087,Expedited,T-shirt,666.0
75088,Expedited,Shirt,368.0
75089,Standard,Trousers,371.0
75090,Standard,Blazzer,885.0
75091,Standard,T-shirt,648.0
75092,Standard,T-shirt,1068.0
75093,Expedited,T-shirt,545.0
75094,Standard,Shirt,
75095,Expedited,Shirt,709.0
75096,Expedited,Trousers,
75097,Standard,T-shirt,414.29
75098,Expedited,Trousers,529.0
75099,Expedited,T-shirt,357.0
75100,Expedited,T-shirt,857.0
75101,Expedited,Shirt,399.0
75102,Standard,Trousers,665.0
75103,Expedited,Shirt,435.0
75104,Expedited,Shirt,435.0
75105,Standard,Trousers,625.0
75106,Expedited,Shoes,
75107,Standard,T-shirt,999.0
75108,Expedited,Shoes,
75109,Standard,Shirt,382.0
75110,Expedited,Shoes,
75111,Standard,T-shirt,693.0
75112,Expedited,T-shirt,1068.0
75113,Standard,T-shirt,1149.0
75114,Expedited,Trousers,338.0
75115,Expedited,Trousers,574.0
75116,Expedited,T-shirt,771.0
75117,Standard,T-shirt,759.0
75118,Expedited,T-shirt,1338.0
75119,Standard,T-shirt,1695.0
75120,Expedited,T-shirt,453.0
75121,Standard,T-shirt,545.0
75122,Standard,Trousers,545.0
75123,Expedited,Trousers,570.0
75124,Expedited,T-shirt,814.0
75125,Expedited,Trousers,493.0
75126,Standard,T-shirt,771.0
