,ship-service-level,Category,Amount
257,Expedited,T-shirt,631.0
258,Expedited,T-shirt,1115.0
259,Expedited,T-shirt,968.0
260,Expedited,Shirt,486.0
261,Expedited,T-shirt,597.0
262,Standard,T-shirt,563.0
263,Expedited,T-shirt,597.0
264,Standard,Shirt,458.0
265,Expedited,T-shirt,1065.0
266,Expedited,T-shirt,2130.0
267,Standard,T-shirt,1099.0
268,Expedited,Blazzer,721.0
269,Expedited,T-shirt,968.0
270,Expedited,T-shirt,563.0
271,Standard,T-shirt,995.54
272,Expedited,T-shirt,
273,Expedited,T-shirt,682.0
274,Expedited,Shirt,399.0
275,Expedited,T-shirt,626.0
276,Expedited,T-shirt,1140.0
277,Expedited,Shirt,486.0
278,Expedited,T-shirt,597.0
279,Expedited,Shirt,399.0
280,Expedited,T-shirt,660.0
281,Expedited,Shirt,459.0
282,Expedited,T-shirt,631.0
283,Standard,Shirt,459.0
284,Expedited,T-shirt,597.0
285,Standard,T-shirt,852.0
286,Expedited,Shirt,353.0
287,Expedited,Shirt,345.0
288,Expedited,Shirt,329.0
289,Expedited,Trousers,518.0
290,Expedited,Trousers,387.0
291,Standard,Trousers,339.0
292,Expedited,Blazzer,744.0
293,Standard,T-shirt,888.0
294,Expedited,Shirt,487.0
295,Standard,Shirt,487.0
296,Expedited,Trousers,563.0
297,Expedited,Blazzer,859.0
298,Expedited,T-shirt,1133.0
299,Expedited,T-shirt,788.0
300,Expedited,T-shirt,1463.0
301,Expedited,Shirt,399.0
302,Expedited,Blazzer,744.0
303,Standard,Shirt,487.0
304,Expedited,T-shirt,657.0
305,Expedited,T-shirt,1133.0
306,Expedited,Shirt,399.0
307,Expedited,Shirt,399.0
308,Expedited,Shirt,399.0
309,Standard,T-shirt,1233.0
310,Standard,Blazzer,825.0
311,Expedited,Trousers,487.0
312,Expedited,T-shirt,563.0
313,Expedited,Shirt,399.0
314,Standard,Shirt,471.0
315,Standard,Shirt,342.0
316,Expedited,Shirt,432.0
317,Expedited,Shirt,399.0
318,Expedited,T-shirt,736.0
319,Expedited,T-shirt,1260.0
320,Expedited,Shirt,399.0
321,Expedited,T-shirt,1133.0
322,Expedited,T-shirt,759.0
323,Expedited,Shirt,475.0
324,Expedited,Blazzer,744.0
325,Standard,T-shirt,1902.86
326,Expedited,Blazzer,771.0
327,Standard,Blazzer,725.0
328,Standard,Shirt,473.33
329,Expedited,T-shirt,
330,Standard,T-shirt,759.0
331,Expedited,Shirt,475.0
332,Expedited,T-shirt,654.0
333,Expedited,Blazzer,791.0
334,Expedited,Blazzer,744.0
335,Expedited,Shirt,376.0
336,Expedited,Shirt,399.0
337,Expedited,T-shirt,599.0
338,Expedited,Shirt,782.0
339,Expedited,Shirt,362.0
340,Expedited,T-shirt,1173.0
341,Standard,Blazzer,744.0
342,Expedited,Blazzer,725.0
343,Expedited,Shirt,376.0
344,Standard,Shirt,459.0
345,Expedited,T-shirt,654.0
346,Expedited,Shirt,379.0
347,Expedited,T-shirt,696.0
348,Expedited,T-shirt,597.0
349,Expedited,T-shirt,692.0
350,Expedited,T-shirt,1999.0
351,Expedited,T-shirt,824.0
352,Expedited,Shirt,399.0
353,Expedited,Shirt,737.0
354,Expedited,Shirt,399.0
355,Expedited,T-shirt,899.0
356,Expedited,Shirt,368.0
357,Standard,Shirt,471.0
358,Expedited,Shirt,399.0
359,Expedited,Shirt,376.0
360,Standard,Shirt,544.0
361,Expedited,Shirt,499.0
362,Expedited,Trousers,426.0
363,Expedited,Shirt,399.0
364,Expedited,T-shirt,
365,Expedited,T-shirt,995.0
366,Expedited,Shirt,499.0
367,Expedited,Shirt,499.0
368,Expedited,T-shirt,597.0
369,Expedited,Shirt,562.0
370,Expedited,Shirt,696.0
371,Expedited,T-shirt,788.0
372,Expedited,Shirt,399.0
373,Expedited,T-shirt,1099.0
374,Expedited,T-shirt,476.0
375,Standard,Blazzer,0.0
376,Standard,Blazzer,885.0
377,Expedited,T-shirt,654.0
378,Expedited,Blazzer,625.0
379,Standard,Shirt,505.0
380,Expedited,Shirt,563.0
381,Standard,Shirt,344.76
382,Expedited,T-shirt,
383,Standard,Shirt,666.0
384,Standard,Shirt,399.0
385,Standard,Shirt,432.0
386,Standard,Shirt,0.0
387,Expedited,T-shirt,1099.0
388,Expedited,Shirt,353.0
389,Standard,Blazzer,0.0
390,Expedited,T-shirt,563.0
391,Expedited,T-shirt,788.0
392,Expedited,T-shirt,654.0
393,Expedited,T-shirt,0.0
394,Expedited,Shirt,399.0
395,Expedited,T-shirt,696.0
396,Expedited,T-shirt,1112.0
397,Expedited,Shirt,517.0
398,Expedited,T-shirt,888.0
399,Expedited,T-shirt,1463.0
400,Expedited,Shirt,399.0
401,Expedited,Shirt,442.0
402,Expedited,T-shirt,1149.0
403,Expedited,Perfume,845.0
404,Expedited,T-shirt,788.0
405,Standard,Blazzer,734.29
406,Expedited,T-shirt,788.0
407,Expedited,T-shirt,654.0
408,Expedited,Shirt,518.0
409,Expedited,T-shirt,626.0
410,Expedited,Shirt,534.0
411,Expedited,Shirt,475.0
412,Expedited,Shirt,549.0
413,Expedited,Shirt,518.0
414,Expedited,Blazzer,
415,Standard,Blazzer,725.0
416,Standard,Shirt,437.14
417,Expedited,T-shirt,1499.0
418,Expedited,Shirt,363.0
419,Expedited,Shirt,399.0
420,Expedited,Shirt,487.0
421,Expedited,T-shirt,824.0
422,Standard,Shirt,353.0
423,Expedited,Trousers,487.0
424,Expedited,T-shirt,597.0
425,Expedited,T-shirt,654.0
426,Expedited,T-shirt,597.0
